,0,1
1054,0.72,
1055,0.63,
1056,0.76,
1057,0.66,
1058,0.76,
1059,0.62,
1060,0.63,
1061,0.67,
1062,0.64,
1063,0.58,
1064,0.69,
1065,0.72,
1066,0.72,
1067,0.68,
1068,0.64,
1069,0.7,
1070,0.64,
1071,0.75,
1072,0.62,
1073,0.68,
1074,0.73,
1075,0.68,
1076,0.74,
1077,0.69,
1078,0.67,
1079,0.64,
1080,0.7,
1081,0.68,
1082,0.69,
1083,0.61,
1084,0.72,
1085,0.77,
1086,0.69,
1087,0.63,
1088,0.69,
1089,0.65,
1090,0.7,
1091,0.67,
1092,0.64,
1093,0.69,
1094,0.64,
1095,0.65,
1096,0.75,
1097,0.76,
1098,0.67,
1099,0.68,
1100,0.67,
1101,0.71,
1102,0.64,
1103,0.69,
1104,0.74,
1105,0.69,
1106,0.69,
1107,0.66,
1108,0.64,
1109,0.78,
1110,0.72,
1111,0.72,
1112,0.7,
1113,0.75,
1114,0.68,
1115,0.69,
1116,0.73,
1117,0.82,
1118,0.61,
1119,0.73,
1120,0.73,
1121,0.78,
1122,0.68,
1123,0.7,
1124,0.69,
1125,0.75,
1126,0.69,
1127,0.72,
1128,0.8,
1129,0.68,
1130,0.73,
1131,0.75,
1132,0.83,
1133,0.7,
1134,0.7,
1135,0.74,
1136,0.68,
1137,0.67,
1138,0.69,
1139,0.64,
1140,0.74,
1141,0.68,
1142,0.67,
1143,0.73,
1144,0.7,
1145,0.79,
1146,0.7,
1147,0.71,
1148,0.78,
1149,0.64,
1150,0.78,
1151,0.64,
1152,0.72,
1153,0.66,
1154,0.62,
1155,0.74,
1156,0.75,
1157,0.74,
1158,0.75,
1159,0.71,
1160,0.75,
1161,0.68,
1162,0.73,
1163,0.69,
1164,0.73,
1165,0.69,
1166,0.79,
1167,0.69,
1168,0.61,
1169,0.69,
1170,0.67,
1171,0.79,
1172,0.69,
1173,0.61,
1174,0.77,
1175,0.68,
1176,0.67,
1177,0.66,
1178,0.65,
1179,0.69,
1180,0.66,
1181,0.69,
1182,0.64,
1183,0.73,
1184,0.65,
1185,0.67,
1186,0.74,
1187,0.7,
1188,0.67,
1189,0.66,
1190,0.71,
1191,0.57,
1192,0.77,
1193,0.78,
1194,0.68,
1195,0.73,
1196,0.74,
1197,0.71,
1198,0.68,
1199,0.71,
1200,0.72,
1201,0.76,
1202,0.74,
1203,0.71,
1204,0.68,
1205,0.59,
1206,0.69,
1207,0.73,
1208,0.7,
1209,0.71,
1210,0.78,
1211,0.69,
1212,0.75,
1213,0.69,
1214,0.72,
1215,0.8,
1216,0.69,
1217,0.68,
1218,0.63,
1219,0.78,
1220,0.68,
1221,0.73,
1222,0.74,
1223,0.74,
1224,0.75,
1225,0.73,
1226,0.63,
1227,0.72,
1228,0.75,
1229,0.65,
1230,0.68,
1231,0.72,
1232,0.79,
1233,0.69,
1234,0.72,
1235,0.69,
1236,0.76,
1237,0.73,
1238,0.77,
1239,0.7,
1240,0.72,
1241,0.69,
1242,0.7,
1243,0.63,
1244,0.65,
1245,0.76,
1246,0.66,
1247,0.76,
1248,0.77,
1249,0.65,
1250,0.79,
1251,0.68,
1252,0.79,
1253,0.67,
1254,0.81,
1255,0.7,
1256,0.76,
1257,0.78,
1258,0.71,
1259,0.71,
1260,0.81,
1261,0.72,
1262,0.69,
1263,0.67,
1264,0.69,
1265,0.62,
1266,0.75,
1267,0.76,
1268,0.73,
1269,0.66,
1270,0.66,
1271,0.74,
1272,0.7,
1273,0.77,
1274,0.76,
1275,0.72,
1276,0.68,
1277,0.63,
1278,0.82,
1279,0.77,
1280,0.73,
1281,0.75,
1282,0.75,
1283,0.67,
1284,0.69,
1285,0.71,
1286,0.73,
1287,0.75,
1288,0.68,
1289,0.73,
1290,0.73,
1291,0.76,
1292,0.66,
1293,0.76,
1294,0.8,
1295,0.69,
1296,0.73,
1297,0.62,
1298,0.67,
1299,0.78,
1300,0.67,
1301,0.78,
1302,0.74,
1303,0.71,
1304,0.75,
1305,0.72,
1306,0.7,
1307,0.7,
1308,0.67,
1309,0.74,
1310,0.67,
1311,0.72,
1312,0.76,
1313,0.7,
1314,0.76,
1315,0.72,
1316,0.75,
1317,0.76,
1318,0.68,
1319,0.76,
1320,0.66,
1321,0.74,
1322,0.73,
1323,0.8,
1324,0.75,
1325,0.73,
1326,0.79,
1327,0.71,
1328,0.73,
1329,0.75,
1330,0.66,
1331,0.74,
1332,0.73,
1333,0.68,
1334,0.77,
1335,0.76,
1336,0.84,
1337,0.72,
1338,0.66,
1339,0.78,
1340,0.73,
1341,0.77,
1342,0.74,
1343,0.75,
1344,0.71,
1345,0.71,
1346,0.7,
1347,0.69,
1348,0.78,
1349,0.76,
1350,0.72,
1351,0.74,
1352,0.71,
1353,0.77,
1354,0.79,
1355,0.73,
1356,0.72,
1357,0.66,
1358,0.76,
1359,0.7,
1360,0.72,
1361,0.71,
1362,0.71,
1363,0.8,
1364,0.75,
1365,0.75,
1366,0.71,
1367,0.68,
1368,0.75,
1369,0.7,
1370,0.73,
1371,0.68,
1372,0.69,
1373,0.74,
1374,0.67,
1375,0.78,
1376,0.8,
1377,0.66,
1378,0.76,
1379,0.74,
1380,0.77,
1381,0.64,
1382,0.73,
1383,0.71,
1384,0.72,
1385,0.76,
1386,0.67,
1387,0.74,
1388,0.76,
1389,0.85,
1390,0.76,
1391,0.65,
1392,0.7,
1393,0.79,
1394,0.65,
1395,0.7,
1396,0.71,
1397,0.69,
1398,0.75,
1399,0.68,
1400,0.74,
1401,0.71,
1402,0.72,
1403,0.74,
1404,0.75,
1405,0.75,
1406,0.81,
1407,0.7,
1408,0.73,
1409,0.72,
1410,0.78,
1411,0.71,
1412,0.8,
1413,0.74,
1414,0.7,
1415,0.77,
1416,0.8,
1417,0.75,
1418,0.77,
1419,0.81,
1420,0.76,
1421,0.76,
1422,0.72,
1423,0.74,
1424,0.78,
1425,0.76,
1426,0.76,
1427,0.68,
1428,0.66,
1429,0.7,
1430,0.73,
1431,0.7,
1432,0.64,
1433,0.68,
1434,0.74,
1435,0.7,
1436,0.81,
1437,0.74,
1438,0.75,
1439,0.76,
1440,0.72,
1441,0.71,
1442,0.79,
1443,0.73,
1444,0.74,
1445,0.66,
1446,0.68,
1447,0.74,
1448,0.79,
1449,0.7,
1450,0.75,
1451,0.73,
1452,0.76,
1453,0.68,
1454,0.7,
1455,0.71,
1456,0.72,
1457,0.8,
1458,0.78,
1459,0.77,
1460,0.74,
1461,0.79,
1462,0.72,
1463,0.76,
1464,0.81,
1465,0.7,
1466,0.73,
1467,0.75,
1468,0.71,
1469,0.69,
1470,0.73,
1471,0.72,
1472,0.73,
1473,0.79,
1474,0.79,
1475,0.77,
1476,0.67,
1477,0.81,
1478,0.84,
1479,0.73,
1480,0.7,
1481,0.69,
1482,0.71,
1483,0.79,
1484,0.78,
1485,0.73,
1486,0.81,
1487,0.85,
1488,0.79,
1489,0.81,
1490,0.71,
1491,0.75,
1492,0.76,
1493,0.72,
1494,0.76,
1495,0.71,
1496,0.69,
1497,0.69,
1498,0.75,
1499,0.73,
1500,0.71,
1501,0.72,
1502,0.84,
1503,0.78,
1504,0.74,
1505,0.68,
1506,0.78,
1507,0.73,
1508,0.72,
1509,0.78,
1510,0.84,
1511,0.78,
1512,0.73,
1513,0.76,
1514,0.84,
